month,ip_region,avg_dau,avg_ccu,avg_pcu,avg_wait_time_secs
202502,ID,58366.75,5028.667761,8617.571429,12.9532786
202502,BR,11872.75,741.5954969,1273.214286,24.19793922
202502,VN,7843.75,587.7716998,1187.357143,17.78454374
202502,TH,11120.64286,732.0511865,1312.285714,16.64460041
202502,MX,7979.178571,523.1963761,934.7142857,25.16939173
202502,MY,4423.178571,307.7371568,523.7857143,12.85579188
202503,BR,7096.419355,489.1399127,837.0967742,31.60678066
202503,VN,5485.483871,455.3547256,929,25.91978794
202503,MX,5418.774194,395.0932528,696.9032258,30.6106037
202503,TH,12521,876.9221491,1466.451613,19.99412559
202503,ID,53817.09677,4029.961435,5967.322581,15.04786997
202503,MY,3766.096774,229.4301966,386.2903226,14.07880782
202504,MY,2773.833333,190.7524685,347.9,19.07872843
202504,BR,5626.266667,394.7666015,731.2333333,44.29024278
202504,MX,4825.966667,391.5879731,684.6333333,40.38209243
202504,ID,36396.2,3024.782057,5570.4,20.72829026
202504,TH,8087.7,649.7118633,1096.333333,26.78396831
202504,VN,8489.066667,640.474451,1339.633333,26.80386421
202505,MY,1833.193548,143.8899042,264.9354839,23.45161503
202505,MX,4111.451613,340.0703948,603.2580645,48.51080373
202505,VN,5005.096774,470.1698905,941.3548387,33.48675335
202505,TH,3731.645161,327.2247705,611.3225806,33.90618587
202505,BR,4458.483871,311.1736378,596.8709677,53.10790127
202505,ID,29465.87097,2662.074259,4807.903226,24.28002021
202506,VN,3951,331.4680679,646.3333333,35.34651292
202506,BR,3612.333333,262.4859259,486,57.61363103
202506,ID,30981.77778,2311.448926,3920.111111,26.10856155
202506,MY,1938.222222,145.2026111,244.6666667,25.94216828
202506,MX,3267.666667,266.9320741,446.2222222,53.10424037
202506,TH,2908.555556,221.2706852,426.6666667,35.55127932
202509,TH,2987.043478,315.96635,602.3478261,45.67641306
202509,MX,13859.82609,1005.241859,1729.818182,34.01598437
202509,VN,5057.695652,525.3751732,1079.391304,41.75550073
202509,MY,2752.304348,249.7203913,436.4347826,22.76061699
202509,ID,70064.91304,5570.261179,9877.565217,19.51715878
202510,VN,3898.322581,358.992024,758.6129032,57.46113009
202510,TH,2232.064516,200.6207718,382.8387097,62.74405391
202510,ID,45508.48387,3454.416003,6101.83871,28.92956363
202510,MX,7307.870968,539.7068787,965.6774194,58.1532361
202510,MY,1910.225806,145.5629743,262.3870968,32.41946769
202511,VN,2779.433333,236.5512037,522.7333333,73.6322722
202511,ID,24207.36667,1767.083102,3062.433333,41.87217098
202511,TH,1539.266667,111.4365278,229.6,73.72233483
202511,MX,4436.633333,322.1448697,577.8666667,73.23181843
202511,MY,1302,84.84300926,150.7,44.42536793
202512,VN,9269.967742,656.6882033,1342.83871,36.28978619
202512,MY,1242.290323,95.81413536,171.2258065,35.24638553
202512,ID,27543.41935,2240.672855,3585.903226,32.71093744
202512,MX,5537.741935,397.5192656,706,49.5485158
202512,TH,1610.096774,137.8687801,269.7741935,54.98177417
202601,ID,21944.35484,1784.453477,2966.967742,42.21385069
202601,MX,5798.258065,413.8205585,699.8709677,57.25761513
202601,VN,6212.774194,486.5902973,988.3548387,52.88238605
202601,MY,920.7419355,69.32560287,127.9677419,44.65326667
202601,TH,1418.387097,115.4308454,232.0967742,64.14961817
202602,MY,740.3571429,47.68189484,89.92857143,36.31115569
202602,MX,4362.75,264.4694187,466.9642857,46.8317928
202602,TH,1022.785714,69.04270833,145.1071429,74.40676237
202602,VN,4676.107143,318.7189484,636,46.83166931
202602,ID,20612.14286,1394.857589,2245.892857,30.37651424
202603,MX,2780.548387,166.0581522,306.0322581,52.52711614
202603,TH,853.1935484,59.5999327,123.9032258,79.59763997
202603,ID,12515.03226,846.0467392,1324.354839,39.27864496
202603,VN,2516.709677,175.0630844,396.7096774,55.40377338
202603,MY,548.7419355,34.74080725,67.93548387,43.95968831
