Date,Ip Region,New Device,R2,R3,R4,R5,R6,R7,R14,R30,R7/R2,R30/R14,R14/R7,R7/R3,R3/R2,,Date: 2025-02-01 -- 2026-04-08
2025-02-01,BR,1961,38.86%,21.67%,16.01%,12.90%,9.94%,9.08%,4.69%,2.65%,23.36%,56.52%,51.69%,41.88%,55.77%,,"Ip Region: VN,TH,BR,MX,ID"
2025-02-01,ID,2596,44.22%,26.43%,19.80%,17.84%,14.52%,14.10%,7.05%,4.35%,31.88%,61.75%,50.00%,53.35%,59.76%
2025-02-01,MX,578,32.35%,20.07%,14.01%,11.76%,9.34%,10.38%,5.19%,4.15%,32.09%,80.00%,50.00%,51.72%,62.03%
2025-02-01,TH,2939,47.09%,29.36%,20.14%,15.62%,13.17%,11.77%,4.66%,2.04%,25.00%,43.80%,39.60%,40.09%,62.36%
2025-02-01,VN,1546,37.90%,20.57%,15.98%,12.29%,9.31%,9.51%,3.75%,2.85%,25.09%,75.86%,39.46%,46.23%,54.27%
2025-02-02,BR,1877,32.50%,21.15%,17.26%,14.06%,11.88%,10.55%,5.97%,2.56%,32.46%,42.86%,56.57%,49.87%,65.08%
2025-02-02,ID,2706,38.54%,27.27%,20.47%,17.04%,15.15%,14.60%,8.09%,4.43%,37.87%,54.79%,55.44%,53.52%,70.76%
2025-02-02,MX,628,37.74%,20.70%,16.40%,12.58%,13.06%,13.22%,7.32%,3.03%,35.02%,41.30%,55.42%,63.85%,54.85%
2025-02-02,TH,3040,44.21%,27.93%,18.82%,15.16%,13.75%,12.57%,4.64%,1.94%,28.42%,41.84%,36.91%,44.99%,63.17%
2025-02-02,VN,1350,36.30%,23.70%,17.33%,12.96%,11.93%,11.11%,5.70%,2.59%,30.61%,45.45%,51.33%,46.87%,65.31%
2025-02-03,BR,1404,36.32%,23.79%,17.52%,13.82%,13.82%,11.75%,5.06%,1.99%,32.35%,39.44%,43.03%,49.40%,65.49%
2025-02-03,ID,2058,42.52%,26.24%,20.85%,16.96%,15.31%,13.17%,7.48%,3.64%,30.97%,48.70%,56.83%,50.19%,61.71%
2025-02-03,MX,559,31.66%,20.57%,17.35%,14.85%,14.49%,15.03%,7.16%,3.76%,47.46%,52.50%,47.62%,73.04%,64.97%
2025-02-03,TH,2416,46.85%,31.00%,22.64%,18.09%,16.27%,12.04%,4.30%,2.07%,25.71%,48.08%,35.74%,38.85%,66.17%
2025-02-03,VN,1129,40.39%,25.69%,19.04%,17.36%,13.55%,11.87%,6.38%,3.28%,29.39%,51.39%,53.73%,46.21%,63.60%
2025-02-04,BR,1134,33.95%,23.72%,19.66%,15.08%,12.79%,10.76%,4.76%,2.56%,31.69%,53.70%,44.26%,45.35%,69.87%
2025-02-04,ID,2110,40.43%,26.68%,22.51%,18.15%,15.21%,13.51%,8.20%,4.22%,33.41%,51.45%,60.70%,50.62%,66.00%
2025-02-04,MX,356,38.20%,25.28%,20.22%,15.45%,12.64%,14.89%,9.83%,5.62%,38.97%,57.14%,66.04%,58.89%,66.18%
2025-02-04,TH,2250,51.64%,32.04%,24.49%,18.89%,15.60%,13.96%,4.62%,2.62%,27.02%,56.73%,33.12%,43.55%,62.05%
2025-02-04,VN,1120,41.70%,26.88%,19.55%,17.14%,13.48%,8.57%,4.46%,2.50%,20.56%,56.00%,52.08%,31.89%,64.45%
